Title,Authors,Abstract
Stem cell paracrine effect and delivery strategies for spinal cord injury regeneration,"Veneruso V, Rossi F, Villella A, Bena A, Forloni G, Veglianese P.","AB  - BACKGROUND AIMS: Exosome therapy for traumatic spinal cord injury (TSCI) is a current research hotspot, but its therapeutic effect and the best source of stem cells for exosomes are unclear. METHODS: The Web of Science, PubMed, Embase, Cochrane, and Scopus databases were searched from inception to March 28, 2023. Literature screening, data extraction and risk of bias assessment were performed independently by two investigators. RESULTS: A total of 40 studies were included for data analysis. The findings of our traditional meta-analysis indicate that exosomes derived from stem cells significantly improve the motor function of TSCI at various time points (1 week: weighted mean difference [WMD] = 1.58, 95% confidence interval [CI] 0.87-2.30] 2 weeks: WMD = 3.12, 95% CI 2.64-3.61; 3 weeks: WMD = 4.44, 95% CI 3.27-5.60; 4 weeks: WMD = 4.54, 95% CI 3.42-5.66). Four kinds of stem cell-derived exosomes have been studied: bone marrow mesenchymal stem cells, adipose mesenchymal stem cells, umbilical cord mesenchymal stem cells and neural stem cells. The results of the network meta-analysis showed that there was no significant statistical difference in the therapeutic effect among the exosomes derived from four kinds of stem cells at different treatment time points. Although exosomes derived from bone marrow mesenchymal stem cells are the current research focus, exosomes derived from neural stem cells have the most therapeutic potential and should become the focus of future attention. CONCLUSIONS: The exosomes derived from stem cells can significantly improve the motor function of TSCI rats, and the exosomes derived from neural stem cells have the most therapeutic potential. However, the lower evidence quality of animal studies limits the reliability of experimental results, emphasizing the need for more high-quality, direct comparative studies to explore the therapeutic efficacy of exosomes and the best source of stem cells."
Assessment and management of acute spinal cord injury: From point of injury to rehabilitation,"Hachem LD, Ahuja CS, Fehlings MG.","AB  - CONTEXT: Spinal cord injury (SCI) is a devastating condition that can lead to significant neurological impairment and reduced quality of life. Despite advancements in our understanding of the pathophysiology and secondary injury mechanisms involved in SCI, there are currently very few effective treatments for this condition. The field, however, is rapidly changing as new treatments are developed and key discoveries are made. METHODS: In this review, we outline the pathophysiology, management, and long-term rehabilitation of individuals with traumatic SCI. We also provide an in-depth overview of emerging therapies along the spectrum of the translational pipeline. EVIDENCE SYNTHESIS: The concept of time is spine"" refers to the concept which emphasizes the importance of early transfer to specialized centers"
Multipotent Stem Cell and Current Application,"Sobhani A, Khanlarkhani N, Baazm M, Mohammadzadeh F, Najafi A, Mehdinejadiani S, Sargolzaei Aval F.","AB  - Spinal cord injury (SCI) is a neurodegenerative disorder of the central nervous system that can lead to permanent loss of sensation and voluntary movement beyond the affected area. Extensive preclinical and clinical trials have been conducted to evaluate the safety and effectiveness of stem cells for the treatment of various central nervous system diseases or disorders, including SCI. However, several challenges hinder nerve cell regeneration in the injured spinal cord, such as extensive cell loss, limited neural cell regeneration capacity, axonal disruption, and the presence of growth-inhibiting molecules, particularly astroglial scarring or glial scars at the injury site in chronic cases. These obstacles pose significant challenges for physicians in restoring normal motor and sensory nerve function in both humans and animals following SCI. This review focuses on SCI pathogenesis, the mechanisms underlying the therapeutic potential of mesenchymal stem cells in SCI, and the potential of stem cell-based therapies as promising avenues for treatment. This review article also included relevant preclinical and clinical data from animal studies."
Multipotent Mesenchymal Stem Cell-Based Therapies for Spinal Cord Injury: Current Progress and Future Prospects,Zeng CW.,"AB  - Stem cells are self-renewing and undifferentiated cell types that can be differentiate into functional cells. Stem cells can be classified into two main types based on their source of origin: Embryonic and Adult stem cells. Stem cells also classified based on the range of differentiation potentials into Totipotent, Pluripotent, Multipotent, and Unipotent. Multipotent stem cells have the ability to differentiate into all cell types within one particular lineage. There are plentiful advantages and usages for multipotent stem cells. Multipotent Stem cells act as a significant key in procedure of development, tissue repair, and protection. Multipotent Stem cells have been applying in treatment of different disorders such as spinal cord injury, bone fracture, autoimmune diseases, rheumatoid arthritis, hematopoietic defects, and fertility preservation."
Recent advances in endogenous neural stem/progenitor cell manipulation for spinal cord injury repair,"Li J, Luo W, Xiao C, Zhao J, Xiang C, Liu W, Gu R.","AB  - Traumatic spinal cord injury (SCI) can cause severe neurological impairments. Clinically available treatments are quite limited, with unsatisfactory remediation effects. Residing endogenous neural stem/progenitor cells (eNSPCs) tend to differentiate towards astrocytes, leaving only a small fraction towards oligodendrocytes and even fewer towards neurons; this has been suggested as one of the reasons for the failure of autonomous neuronal regeneration. Thus, finding ways to recruit and facilitate the differentiation of eNSPCs towards neurons has been considered a promising strategy for the noninvasive and immune-compatible treatment of SCI. The present manuscript first introduces the responses of eNSPCs after exogenous interventions to boost endogenous neurogenesis in various SCI models. Then, we focus on state-of-art manipulation approaches that enhance the intrinsic neurogenesis capacity and reconstruct the hostile microenvironment, mainly consisting of pharmacological treatments, stem cell-derived exosome administration, gene therapy, functional scaffold implantation, inflammation regulation, and inhibitory element delineation. Facing the extremely complex situation of SCI, combined treatments are also highlighted to provide more clues for future relevant investigations."
Role of endogenous neural stem cells in spinal cord injury and repair,"Stenudd M, Sabelström H, Frisén J.","AB  - Spinal cord injury (SCI) represents a significant medical challenge, often resulting in permanent disability and severely impacting the quality of life for affected individuals. Traditional treatment options remain limited, underscoring the need for novel therapeutic approaches. In recent years, multipotent mesenchymal stem cells (MSCs) have emerged as a promising candidate for SCI treatment due to their multifaceted regenerative capabilities. This comprehensive review synthesizes the current understanding of the molecular mechanisms underlying MSC-mediated tissue repair in SCI. Key mechanisms discussed include neuroprotection through the secretion of growth factors and cytokines, promotion of neuronal regeneration via MSC differentiation into neural cell types, angiogenesis through the release of pro-angiogenic factors, immunomodulation by modulating immune cell activity, axonal regeneration driven by neurotrophic factors, and glial scar reduction via modulation of extracellular matrix components. Additionally, the review examines the various clinical applications of MSCs in SCI treatment, such as direct cell transplantation into the injured spinal cord, tissue engineering using biomaterial scaffolds that support MSC survival and integration, and innovative cell-based therapies like MSC-derived exosomes, which possess regenerative and neuroprotective properties. As the field progresses, it is crucial to address the challenges associated with MSC-based therapies, including determining optimal sources, intervention timing, and delivery methods, as well as developing standardized protocols for MSC isolation, expansion, and characterization. Overcoming these challenges will facilitate the translation of preclinical findings into clinical practice, providing new hope and improved treatment options for individuals living with the devastating consequences of SCI."
Regenerative Rehabilitation and Stem Cell Therapy Targeting Chronic Spinal Cord Injury: A Review of Preclinical Studies,"Tashiro S, Nakamura M, Okano H.","AB  - Objectives: The aim of this study was to conduct a bibliometric analysis of the literature on stem cell treatment for spinal cord injury to gain an intuitive understanding of how the field is progressing, discover topics of interest, and determine what development trends are emerging in this field. Background: Spinal cord injury and its complications often cause an enormous economic burden, and postinjury repair and treatment have always been challenging in clinical and scientific research. Stem cell therapy for spinal cord injury can prevent immune rejection and induce the release of neuroprotective and anti-inflammatory factors to reduce the production of stress-related proteins, reactive oxygen species, and inflammatory reactions. Methods: We analyzed the number and quality of publications in the field of stem cell therapy in spinal cord injury between 2018.01.01 and 2023.06.30 in the core collection database of Web of Science. CiteSpace and VOSviewer were used to sort and summarize these studies by country, institution, authors' publications, and collaborative networks. In addition, the research topics of interest were identified and summarized. Results: This study ultimately included 2,150 valid papers, with the number of publications showing a gradual upward trend. The country, institution, author and journal with the greatest number of publications and citations are China, the Chinese Academy of Sciences, Dai JW, and the International Journal of Molecular Sciences, respectively. The top three high-frequency keyword clusters were hereditary paraplegia, reactive astrocytes and tissue engineering. Conclusion: With the help of visual analysis, we identified general trends and research topics of interest in the field of spinal cord injury over the last 5 years. Our findings suggest that stem cell transplantation for spinal cord injury and exosome therapy may be a focus of future research. This study provides a foundation for future research on stem cell therapy as well as clinical efforts in this field."
Biomaterials and Magnetic Stem Cell Delivery in the Treatment of Spinal Cord Injury,Kubinová Š.,"AB  - Spinal cord injury is followed by glial scar formation, which has positive and negative effects on recovery from the lesion. More than half of the astrocytes in the glial scar are generated by ependymal cells, the neural stem cells in the spinal cord. We recently demonstrated that the neural stem cell-derived scar component has several beneficial functions, including restricting tissue damage and neural loss after spinal cord injury. This finding identifies endogenous neural stem cells as a potential therapeutic target for treatment of spinal cord injury."
"Advancing Spinal Cord Injury Treatment through Stem Cell Therapy: A Comprehensive Review of Cell Types, Challenges, and Emerging Technologies in Regenerative Medicine",Zeng CW.,"AB  - Spinal cord injury (SCI) is a serious trauma, which often results in a permanent loss of motor and sensory functions, pain and spasticity. Despite extensive research, there is currently no available therapy that would restore the lost functions after SCI in human patients. Advanced treatments use regenerative medicine or its combination with various interdisciplinary approaches such as tissue engineering or biophysical methods. This review summarizes and critically discusses the research from specific interdisciplinary fields in SCI treatment such as the development of biomaterials as scaffolds for tissue repair, and using a magnetic field for targeted cell delivery. We compare the treatment effects of synthetic non-degradable methacrylate-based hydrogels and biodegradable biological scaffolds based on extracellular matrix. The systems using magnetic fields for magnetically guided delivery of stem cells loaded with magnetic nanoparticles into the lesion site are then suggested and discussed."
Biomaterials and Gene Manipulation in Stem Cell-Based Therapies for Spinal Cord Injury,"Wang J, Zou W, Ma J, Liu J.","AB  - Spinal cord injuries (SCIs) can lead to significant neurological deficits and lifelong disability, with far-reaching physical, psychological, and economic consequences for affected individuals and their families. Current treatments for SCIs are limited in their ability to restore function, and there is a pressing need for innovative therapeutic approaches. Stem cell therapy has emerged as a promising strategy to promote the regeneration and repair of damaged neural tissue following SCIs. This review article comprehensively discusses the potential of different stem cell types, such as embryonic stem cells (ESCs), induced pluripotent stem cells (iPSCs), mesenchymal stem cells (MSCs), and neural stem/progenitor cells (NSPCs), in SCI treatment. We provide an in-depth analysis of the unique advantages and challenges associated with each stem cell type, as well as the latest advancements in the field. Furthermore, we address the critical challenges faced in stem cell therapy for SCIs, including safety concerns, ethical considerations, standardization of protocols, optimization of transplantation parameters, and the development of effective outcome measures. We also discuss the integration of novel technologies such as gene editing, biomaterials, and tissue engineering to enhance the therapeutic potential of stem cells. The article concludes by emphasizing the importance of collaborative efforts among various stakeholders in the scientific community, including researchers, clinicians, bioengineers, industry partners, and patients, to overcome these challenges and realize the full potential of stem cell therapy for SCI patients. By fostering such collaborations and advancing our understanding of stem cell biology and regenerative medicine, we can pave the way for the development of groundbreaking therapies that improve the lives of those affected by SCIs."
Stem Cell Therapy in Spinal Cord Injury-Induced Neurogenic Lower Urinary Tract Dysfunction,"Ou YC, Huang CC, Kao YL, Ho PC, Tsai KJ.","AB  - Spinal cord injury (SCI) is a complicated neuropathological condition that results in functional dysfunction and paralysis. Various treatments have been proposed including drugs, biological factors and cells administered in several ways. Stem cell therapy offers a potentially revolutionary mode to repair the damaged spinal cord after injury. Initially, stem cells were considered promising for replacing cells and tissue lost after SCI. Many studies looked at their differentiation to replace neuronal and glial cells for a better functional outcome. However, it is becoming clear that different functional improvements recognized to stem cells are due to biomolecular activities by the transplanted stem cells rather than cell replacement. This review aimed to discuss the paracrine mechanisms for tissue repair and regeneration after stem cell transplantation in SCI. It focuses on stem cell factor production, effect in tissue restoration, and novel delivery strategies to use them for SCI therapy."
Stem cell-derived neuronal relay strategies and functional electrical stimulation for treatment of spinal cord injury,"Lai BQ, Zeng X, Han WT, Che MT, Ding Y, Li G, Zeng YS.","AB  - Spinal cord injury (SCI) is a devastating condition that enormously affects an individual's health and quality of life. Neurogenic lower urinary tract dysfunction (NLUTD) is one of the most important sequelae induced by SCI, causing complications including urinary tract infection, renal function deterioration, urinary incontinence, and voiding dysfunction. Current therapeutic methods for SCI-induced NLUTD mainly target on the urinary bladder, but the outcomes are still far from satisfactory. Stem cell therapy has gained increasing attention for years for its ability to rescue the injured spinal cord directly. Stem cell differentiation and their paracrine effects, including exosomes, are the proposed mechanisms to enhance the recovery from SCI. Several animal studies have demonstrated improvement in bladder function using mesenchymal stem cells (MSCs) and neural stem cells (NSCs). Human clinical trials also provide promising results in urodynamic parameters after MSC therapy. However, there is still uncertainty about the ideal treatment window and application protocol for stem cell therapy. Besides, data on the therapeutic effects regarding NSCs and stem cell-derived exosomes in SCI-related NLUTD are scarce. Therefore, there is a pressing need for further well-designed human clinical trials to translate the stem cell therapy into a formal therapeutic option for SCI-induced NLUTD."
Stem cell-derived exosomes for traumatic spinal cord injury: a systematic review and network meta-analysis based on a rat model,"Shang Z, Wanyan P, Wang M, Zhang B, Cui X, Wang X.","AB  - Stem cell medicine has led to functional recovery in the acute-to-subacute phase of spinal cord injury (SCI), but not yet in the chronic phase, during which various molecular mechanisms drastically remodel the tissue and render it treatment-resistant. Researchers are attempting to identify effective combinatorial treatments that can overcome the refractory state of the chronically injured spinal cord. Regenerative rehabilitation, combinatorial treatment with regenerative medicine that aims to elicit synergistic effects, is being developed. Rehabilitation upon SCI in preclinical studies has recently attracted more attention because it is safe, induces neuronal plasticity involving transplanted stem cells and sensorimotor circuits, and is routinely implemented in human clinics. However, regenerative rehabilitation has not been extensively reviewed, and only a few reviews have focused on the use of physical medicine modalities for rehabilitative purposes, which might be more important in the chronic phase. Here, we summarize regenerative rehabilitation studies according to the effector, site, and mechanism. Specifically, we describe effects on transplanted cells, microstructures at and distant from the lesion, and molecular changes. To establish a treatment regimen that induces robust functional recovery upon chronic SCI, further investigations are required of combinatorial treatments incorporating stem cell therapy, regenerative rehabilitation, and medication."
